110050唯一合格男    8 999999913    230309211327211610000110202043 2 30000004010301012                                                                                                                                                                    010101040803040304030403010403030007090606020201040607990301530402021049999996399999999999999999999999999991199999999990101                                      950101
110053最年長的男    2 999999913    230310194155200252000100251    2 10000071010303012                                                                                                                                                                    029901021392020298989605980204989595989898980202000607990801340102029069996026399999999999999999999999999991199999999990102                                      990104
110072唯一合格女  042 999999913    230309210730212158000110202001 2 30000008010302011                                                                                                                                                                    010101030402040303040407050304030006070605020301040607990802620702022069999996699999999999999999999999999999999990699990101                                      950201
110079最年長的男   07 999999913    230311202923204257000111202043 2 30000004010402011                                                                                                                                                                    010101029799020201010208050102010008081000030101000697999601560402026029999996499999999999999999999999999999928999999990102                                      990101
110097最年輕的男   07 999999913    230309211132212318000100161    2 10001394010402041                                                                                                                                                                    010101010408010101020209070203020006070805030201030402029901700702023019999996499999999999999999999999999999919999999990101                                      010101
110108最年輕的男    2 999999913    230309211258212148000100250    1 10000064010402041                                                                                                                                                                    010101030803970202030307050402020209080707030201040638029901770602033029999996399999999999999999999999999990799999999990201                                      950101
110113最年輕的男   06 999999913    230310193642193936000111202031 1 30000004010402041                                                                                                                                                                    010102010401020202020208070202020306060605030302050602029901840602023029999996799999999999999999999999999999999999936990101                                      950101
110122唯一合格女    2 999999913    230309211824212631000100067    2 10001096010201012                                                                                                                                                                    029901040102040404040400010303030105100202020203020601019903350607029069993026599999999999999999999999999999999049999990102                                      990204
110132唯一合格男   07 999999913    230309211817212756000100199    2 10000720010201011                                                                                                                                                                    010101020801020203030307050404960005040804030302070496990401630702022149999996499999999999999999999999999999919999999990101                                      950101
110150最年長的女   04 999999913    230310192038193258000111202050 2 30000008010402012                                                                                                                                                                    010101020104020103020208080202020005050805020201080696990401560402029015019990799999916999999999999999999999999999999990102                                      990201
110179唯一合格男   03 999999913    230309212557214018000100207    2 10000416010301011                                                                                                                                                                    010501040408040403040404000403040408070508030201060501029902510602029069993021899999999999999999999999902999999999999990101                                      010101
110192唯一合格男   08 999999913    230309212808213738000100161    2 10001394010301012                                                                                                                                                                    010101020108030202020207050203020500060307030301000607990802520502039069996021499999999999999990199999999999999999999990101                                      950101
110195唯一合格男   06 999999913    230309212836213828000100250    1 10000064010201012                                                                                                                                                                    010303039799030203030306030403030007070708030301090697990801690602021059999996799999999999999999999999999999999999931990201                                      950101
110205唯一合格女    2 999999913    230310191826193306000100049    2 10002448010302011                                                                                                                                                                    010201040103040398040405030202030507080605020202060619999701650402026029999991799999999999999999999990699999999999999990101                                      950201
110210唯一合格男   03 999999913    230309213030213931000111202028 1 30000020010101011                                                                                                                                                                    029901020103020101010209080203020505080907020202090602029901570402026029999991899999999999999999999999903999999999999990102                                      990101
110214唯一合格男   05 999999913    230310195126200310000100127    1 10001476010101011                                                                                                                                                                    010101020801030202030305030302030505060703030304030602029901390302029069991056699999999999999999999999999999999990299990101                                      950104
110217唯一合格男   06 999999913    230309213154214354000100248    2 10000108010301011                                                                                                                                                                    010101980401989803040207050403020207080603030304060696990802840602022149999996799999999999999999999999999999999999929990101                                      950101
110219最年輕的男   05 999999913    230309213214214717000100067    2 10001096010402041                                                                                                                                                                    010201020801020102020210100202020000101005020101050502029901780402026029999991099999999999912999999999999999999999999990101                                      010101
110224最年輕的男   04 999999913    230310191713192743000111202031 1 30000004011005101                                                                                                                                                                    010202040208040404040304020303030407060307030201040638029902700501023039999990799999910999999999999999999999999999999990101                                      950101
