385679最年輕的女   08 999999901    240331200853202208000100231    1 10000108010402041                                                                                                                                                                    0103010401040404030404020003979708090700030305040601029903700501019013039991399999999999999029999999999999999999999990101                                      95201
385713唯一合格女    2 999999901    240331185011190251000100066    2 10002808010201011                                                                                                                                                                    0102010102080201010202081098980207060206020102030638019901710602026019999996399999999999999999999999999990299999999990101                                      01201
385731唯一合格男   06 999999901    240326191554193301000112254005 1 30000004010201012                                                                                                                                                                    0299010208040304980303050502040400040506030308030507999701330402029069998016599999999999999999999999999999999039999990202                                      99101
385734唯一合格女   07 999999901    240326205314210242000100155    2 10001012010201012                                                                                                                                                                    0101050408020303040404000003030300101005030305030696990802670604042049999996499999999999999999999999999999902999999990101                                      95201
385757唯一合格男   05 999999901    240329180609181505000100049    2 10002864010201011                                                                                                                                                                    0101010402040404030404100004040304050403030305040507990802630502024019999990999999999990499999999999999999999999999990102                                      99101
385876唯一合格女  042 999999901    240326192156193138000100278    2 20000036010403011                                                                                                                                                                    0103010204010102010201070702030300070007020200030402029901580402023029999996699999999999999999999999999999999990999990101                                      95201
385889最年輕的男   08 999999901    240326192241193636000100275    2 10000156010302032                                                                                                                                                                    0102010401020404040404000004040402060602030303040501029902580498023019999991499999999999999990199999999999999999999990102                                      99101
385920唯一合格男    2 999999901    240329202610203748000100140    1 10001632010101011                                                                                                                                                                    0101010104080201010102100902020202080708010210020421019901700602011049999996599999999999999999999999999999999029999990101                                      01101
385953最年輕的女   04 999999901    240328213615214805000100282    2 10000072010402041                                                                                                                                                                    0102019801049802020202050598989800050205020207030607990801880602036029999990799999906999999999999999999999999999999990101                                      95201
385954唯一合格男   05 999999901    240326192552193815000100124    2 10000920010201012                                                                                                                                                                    0101010104080101010102080801040400080508030105030602029901490402022149999991099999999999912999999999999999999999999990201                                      95104
385975最年輕的女   06 999999901    240326192712194051000100155    2 10001012010301031                                                                                                                                                                    0103010404020404040404020203030205101004030202030501019902660503021049999996799999999999999999999999999999999999931990101                                      01201
395038最年輕的女  042 999999902    240330181107182030000100280    2 10000080010301031                                                                                                                                                                    0102019514020203019898050798989800070505020200980495990801690302026029999996699999999999999999999999999999999992499990101                                      95204
395052最年輕的女    2 999999902    240328214006215359000100265    1 10000200010301031                                                                                                                                                                    0102010202019803030302060698040203060506010103030519994101790602019013029996599999999999999999999999999999999099999990202                                      99201
395076唯一合格女    2 999999902    240326193312194751000100250    1 10000360010201011                                                                                                                                                                    0102010304020303030404050502030204080805020302030638019902670602029011049996399999999999999999999999999991099999999990101                                      01201
