T2016060156    999999999999999999999999999999999999999923-MAY-2017 22:44:1523-MAY-2017 22:47:01 4 174 799 4 4 4 4 4 2 3 299 421 299 110 2 4999999999999999999999999999999999999999999
T2015070106    999999999999999999999999999999999999999922-MAY-2017 19:21:4422-MAY-2017 19:25:43 3 126 699 4 4 4 4 4 3 399 2 6 3 299 2106599999999999999999999999999999999 19999999999
T2015070072    999999999999999999999999999999999999999923-MAY-2017 00:31:1523-MAY-2017 00:33:51 2 278 7 199 3 4 2 3 2 1 299 5 1 299 1 2179999999999999999999999 699999999999999999999
T2015070062    999999999999999999999999999999999999999922-MAY-2017 23:45:0122-MAY-2017 23:47:12 4 267 699 4 1 2 1 4 2 1 399 6 2 299 1 364999999999999999999999999999999 5999999999999
T2015070052    999999999999999999999999999999999999999924-MAY-2017 14:12:4824-MAY-2017 14:15:19 2 161 7 199 2 2 2 4 2 2 199 4 799 4 1 86599999999999999999999999999999999 39999999999
T2015070012    999999999999999999999999999999999999999923-MAY-2017 12:17:3723-MAY-2017 12:18:57 1 275 6 199 2 2 2 4 2 299 3 421 299 1 26599999999999999999999999999999999119999999999
T2015050372    999999999999999999999999999999999999999922-MAY-2017 18:22:1822-MAY-2017 18:24:10 2 167 7 199 4 4 4 4 2 2 499 5 1 299 2 667999999999999999999999999999999999999 8999999
T2015050349    999999999999999999999999999999999999999922-MAY-2017 15:27:5422-MAY-2017 15:31:09 1 174 7 199 3 3 2 3 1 199 2 421 299 1 76699999999999999999999999999999999991699999999
T2015050337    999999999999999999999999999999999999999922-MAY-2017 20:00:5222-MAY-2017 20:04:10 2 249 4 199 4 3 3 3 3 3 399 3 1 299 2 1 99999999999 399999999999999999999999999999999
T2015050309    999999999999999999999999999999999999999923-MAY-2017 21:42:0723-MAY-2017 21:45:55 3 253 699 4 4 4 4 4 3 399 2 6 799 3 1 86599999999999999999999999999999999 19999999999
T2015050288    999999999999999999999999999999999999999922-MAY-2017 23:32:1022-MAY-2017 23:34:49 1 160 6 199 4 3 4 3 3 399 1 3 1 299 2 6639999999999999999999999999999 599999999999999
T2015050280    999999999999999999999999999999999999999922-MAY-2017 12:52:4722-MAY-2017 12:54:58 4 272 699 3 4 4 4 4 3 3 199 3 799 8 2 464999999999999999999999999999999 9999999999999
T2015050265    999999999999999999999999999999999999999922-MAY-2017 18:11:4922-MAY-2017 18:13:25 2 266 6 199 3 3 3 3 3 2 399 4 2 299 2 96399999999999999999999999999991099999999999999
